vsi_path	slide_id	is_overview	file_size_bytes	num_scenes	scene_idx	scene_name	width_px	height_px	mpp_x_um	mpp_y_um	magnification	compression	num_channels	num_z_slices	num_t_frames	error
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762253HE1.vsi	10762253HE1	0	348437	1	0	40x	33293	35432	0.170664	0.170664	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762253HE1_Overview.vsi	10762253HE1_Overview	1	1434010		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762254HE1.vsi	10762254HE1	0	743983	1	0	40x	25723	29978	0.170662	0.170663	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762254HE1_Overview.vsi	10762254HE1_Overview	1	1435902		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762256HE1.vsi	10762256HE1	0	375751	1	0	40x	41779	27861	0.170664	0.170665	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762256HE1_Overview.vsi	10762256HE1_Overview	1	1433560		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762258HE1.vsi	10762258HE1	0	377661	1	0	40x	37241	34842	0.170663	0.170663	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762258HE1_Overview.vsi	10762258HE1_Overview	1	1431300		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762260HE1.vsi	10762260HE1	0	389481	1	0	40x	38442	39380	0.170662	0.170665	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762260HE1_Overview.vsi	10762260HE1_Overview	1	1435954		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762262HE1.vsi	10762262HE1	0	434827	1	0	40x	23016	19680	0.170665	0.170663	40.0	Compression.Jpeg	3	1	1	
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762262HE1_Overview.vsi	10762262HE1_Overview	1	1432558		-1											no scenes
/home/jovyan/shared-data/S3-raw-data-Jul-2026/sparc-image-ffpe/vsi-2021/10762264HE1.vsi	10762264HE1	0	417645	1	0	40x	16342	26966	0.170656	0.170662	40.0	Compression.Jpeg	3	1	1	
